params,rmse_cv
"linReg_474e7531720e-elasticNetParam: 0.7,
	linReg_474e7531720e-regParam: 0.1",0.3275364999535009
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.1",0.3331241197672857
"linReg_474e7531720e-elasticNetParam: 0.3,
	linReg_474e7531720e-regParam: 0.2",0.3450255918629814
"linReg_474e7531720e-elasticNetParam: 0.7,
	linReg_474e7531720e-regParam: 0.05",0.34866078521561344
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.2",0.35748501236754243
"linReg_474e7531720e-elasticNetParam: 0.3,
	linReg_474e7531720e-regParam: 0.1",0.359986739763106
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.05",0.37225185541699096
"linReg_474e7531720e-elasticNetParam: 0.7,
	linReg_474e7531720e-regParam: 0.2",0.38623191591837064
"linReg_474e7531720e-elasticNetParam: 0.3,
	linReg_474e7531720e-regParam: 0.05",0.423019040603869
"linReg_474e7531720e-elasticNetParam: 0.7,
	linReg_474e7531720e-regParam: 0.02",0.4253524580657171
"linReg_474e7531720e-elasticNetParam: 0.3,
	linReg_474e7531720e-regParam: 0.5",0.437294851313976
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.02",0.45596009647794616
"linReg_474e7531720e-elasticNetParam: 0.3,
	linReg_474e7531720e-regParam: 0.02",0.4901643515486074
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.5",0.5121608264780968
"linReg_474e7531720e-elasticNetParam: 0.7,
	linReg_474e7531720e-regParam: 0.5",0.5688530379666189
